Plan Or Actual,Region,STP,ISP_Site,Activity_Type_1,Activity_Type_2,Activity_Type_3,POD,Specialty_(TFC),Diagnostic_Modality,How_will_this_activity_be_delivered?,Please_provide_details_of_your_plan_for_service_delivery ,Further_Detail,NHS_Referring_Trust,Week Commencing Date,Activity Count,Postcode,Lat,Lon,Week Index
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Routine,Non-Cancer,Routine,Daycase,100: General surgery,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,7,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Routine,Non-Cancer,Routine,Daycase,104: Colorectal surgery,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,5,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Non-Cancer,Routine,Daycase,104: Colorectal surgery,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Cancer,Routine,Daycase,101: Urology,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,3,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Cancer,Routine,Daycase,502: Gynaecology,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Non-Cancer,Routine,Daycase,502: Gynaecology,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,2,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Routine,Non-Cancer,Routine,Daycase,130: Ophthalmology,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,5,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Routine,Non-Cancer,Routine,Daycase,191: Pain management,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,0,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,0,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Cancer,Complex,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,5,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Unknown,Unknown,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),Service will be wholly staffed by independent sector staff,,Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,20,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Unknown,Unknown,Routine,Diagnostics,Oth: Other,ENDOSCOPY,Service will be staffed by NHS medical staff,Endoscopy. Staffed by ESTH scopist and nursing as required. ,Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,22,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Unknown,Unknown,Routine,Diagnostics,Oth: Other,MAGNETIC RESONANCE IMAGING (MRI),Service will be wholly staffed by independent sector staff,,Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,13,KT21 2SB,51.30434,-0.30329,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Other,Unknown,Routine,Outpatients,Unk: Unknown,,,,Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,26,KT21 2SB,51.30434,-0.30329,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Urgent,Cancer,Routine,Daycase,101: Urology,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,4,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Urgent,Cancer,Routine,Daycase,502: Gynaecology,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,5,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,7,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,140: Oral surgery,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,4,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,120: Ent,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,7,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,100: General surgery,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,2,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,502: Gynaecology,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,4,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,104: Colorectal surgery,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,2,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Daycase,103: Breast surgery,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,1,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Urgent,Cancer,Complex,Daycase,103: Breast surgery,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,7,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Urgent,Cancer,Complex,Daycase,160: Plastic surgery,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,8,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Routine,Non-Cancer,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment carried out by NHS. IS will arrange and undertake Covid screening swabs.,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,17,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The New Victoria Hospital (The New Victoria Hospital Limited),Other,Unknown,Routine,Outpatients,Unk: Unknown,,,,,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,86,KT2 7EG,51.41569,-0.25429,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Routine,Daycase,104: Colorectal surgery,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Routine,Daycase,101: Urology,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,5,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Routine,Daycase,101: Urology,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,6,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Routine,Daycase,502: Gynaecology,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,3,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Routine,Daycase,320: Cardiology,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,104: Colorectal surgery,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,3,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,101: Urology,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,3,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,502: Gynaecology,,Service will be supplemented by additional nursing staff,Staffed by ESTH surgeon and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,4,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Other,Unknown,Routine,Outpatients,Unk: Unknown,,,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Unknown,Unknown,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),Service will be wholly staffed by independent sector staff,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,18,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Unknown,Unknown,Routine,Diagnostics,Oth: Other,ECHO,Service will be wholly staffed by independent sector staff,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,9,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Unknown,Unknown,Routine,Diagnostics,Oth: Other,MAGNETIC RESONANCE IMAGING (MRI),Service will be wholly staffed by independent sector staff,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,13,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Unknown,Unknown,Routine,Diagnostics,Oth: Other,ENDOSCOPY,Service will be supplemented by additional nursing staff,Endoscopy. Staffed by ESTH scopist.,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,10,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Routine,Daycase,100: General surgery,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,6,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,1,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Complex,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,0,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Complex,Elective,108: Spinal surgery service,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,3,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Non-Cancer,Complex,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,5,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,3,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,120: Ent,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,3,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,2,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Routine,Diagnostics,301: Gastroenterology,COMPUTERISED TOMOGRAPHY (CT),Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,6,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Unknown,Unknown,Routine,Diagnostics,Oth: Other,ENDOSCOPY,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,1,SM3 9DW,51.37946,-0.221,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),,,,KINGSTON HOSPITAL NHS FOUNDATION TRUST,03/08/2020,18,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,7,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Non-Cancer,Routine,Daycase,160: Plastic surgery,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,3,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Non-Cancer,Routine,Daycase,100: General Surgery,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,7,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,4,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Unknown,Routine,Diagnostics,Oth: Other,ENDOSCOPY,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,13,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Unknown,Routine,Elective,Unk: Unknown,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,3,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Unknown,Unknown,Routine,Daycase,Unk: Unknown,,,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,SW19 5NX,51.43576,-0.22358,0
