Inner or Outer,Plan or Actuals,Activity Type,Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week Commencing Date,Activity Count
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Cancer,15/06/2020,4
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,45
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,15/06/2020,26
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,15/06/2020,4
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0.5
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,15/06/2020,22
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,4
Outer,Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,Elective,,,Non-Cancer,15/06/2020,20
Outer,Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,15/06/2020,12
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,2
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Elective,,,Non-Cancer,15/06/2020,8
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,3
Outer,Actuals,Normal,Harley Street on 15 (HCA UK),North London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Harley Street on 15 (HCA UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Harley Street on 15 (HCA UK),North London STP,,Elective,,,Cancer,15/06/2020,1
Outer,Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Holly House (Holly House),East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Holly House (Holly House),East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Elective,,,Non-Cancer,15/06/2020,16
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,-14
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Elective,,,Non-Cancer,15/06/2020,13
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,2.5
Outer,Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Non-Cancer,15/06/2020,45
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,13
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Daycase,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020,52
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Non-Cancer,15/06/2020,24
Outer,Actuals,Normal,London East (Spire Healthcare),East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,160
Outer,Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Non-Cancer,15/06/2020,127
Outer,Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,London Independent (BMI Healthcare),East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,15/06/2020,23
Outer,Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Elective,,,Non-Cancer,15/06/2020,26
Outer,Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,15/06/2020,10
Outer,Actuals,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Sloane (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Elective,,,Non-Cancer,15/06/2020,7
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020,7
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,6
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Elective,,,Non-Cancer,15/06/2020,19
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,7
Outer,Actuals,Normal,The London Clinic (The London Clinic),East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The London Clinic (The London Clinic),East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The London Clinic (The London Clinic),East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,The Portland (HCA UK),North West London STP,,Elective,,,Non-Cancer,15/06/2020,12
Outer,Actuals,Normal,The Portland (HCA UK),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Portland (HCA UK),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,The Princess Grace (HCA UK),North London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Princess Grace (HCA UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Princess Grace (HCA UK),North London STP,,Elective,,,Cancer,15/06/2020,53
Outer,Actuals,Normal,The Spire Hartswood,East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Spire Hartswood,East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Spire Hartswood,East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,Elective,,,Non-Cancer,15/06/2020,20
Outer,Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,Elective,,,Cancer,15/06/2020,48
Outer,Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,4
Outer,Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Non-Cancer,15/06/2020,4
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,86
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020,9
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Outpatients,,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,22/06/2020,17
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Daycase,,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,22/06/2020,22
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,17
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,22/06/2020,10
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020,20
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Outpatients,,,Non-Cancer,22/06/2020,6
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,22/06/2020,28
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Daycase,,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Cancer,22/06/2020,8
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,22/06/2020,15
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,22/06/2020,24
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,106
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Non-Cancer,22/06/2020,35
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Daycase,,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Cancer,22/06/2020,12
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,22/06/2020,1
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,22/06/2020,15
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,26
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,22/06/2020,21
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020,30
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Outpatients,,,Non-Cancer,22/06/2020,58
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Non-Cancer,22/06/2020,87
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Daycase,,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Cancer,22/06/2020,6
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,22/06/2020,21
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,24
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020,33
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,22/06/2020,12
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Daycase,,,Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Cancer,22/06/2020,6
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,22/06/2020,3
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,22/06/2020,20
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020,0
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020,17
