Plan or Actuals,Activity Type,Independent Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week  Commencing Date,Activity Count,Plan Type
Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 12 ,Actuals
Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 2 ,Actuals
Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 8 ,Actuals
Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 3 ,Actuals
Actuals,Normal,Harley Street on 15 (HCA UK),North London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Harley Street on 15 (HCA UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Harley Street on 15 (HCA UK),North London STP,,Elective,,,Cancer,15/06/2020, 1 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Holly House (Holly House),East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Holly House (Holly House),East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 16 ,Actuals
Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020,-14 ,Actuals
Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 13 ,Actuals
Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 3 ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Non-Cancer,15/06/2020, 45 ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 13 ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,Daycase,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020, 52 ,Actuals
Actuals,Normal,London Bridge (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Non-Cancer,15/06/2020, 24 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,"Unable to define priority of patient, as this is determined by NHS Trust. However we are aware this is a mixture of P2,3 & some 4 activity
Please note that there is no diagnostics line on the sit-rep so this is all consolidated under the outpatient number.
The 16 variation are the endoscopies done from the royal london. These are from this week included on the sit-rep under outpatients.",Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, 160 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,"Unable to define priority of patient, as this is determined by NHS Trust. However we are aware this is a mixture of P2,3 & some 4 activity
Please note that there is no diagnostics line on the sit-rep so this is all consolidated under the outpatient number.
The 16 variation are the endoscopies done from the royal london. These are from this week included on the sit-rep under outpatients.",Elective,,,Non-Cancer,15/06/2020, 127 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,"Unable to define priority of patient, as this is determined by NHS Trust. However we are aware this is a mixture of P2,3 & some 4 activity
Please note that there is no diagnostics line on the sit-rep so this is all consolidated under the outpatient number.
The 16 variation are the endoscopies done from the royal london. These are from this week included on the sit-rep under outpatients.",Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,"Unable to define priority of patient, as this is determined by NHS Trust. However we are aware this is a mixture of P2,3 & some 4 activity
Please note that there is no diagnostics line on the sit-rep so this is all consolidated under the outpatient number.
The 16 variation are the endoscopies done from the royal london. These are from this week included on the sit-rep under outpatients.",Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,"Unable to define priority of patient, as this is determined by NHS Trust. However we are aware this is a mixture of P2,3 & some 4 activity
Please note that there is no diagnostics line on the sit-rep so this is all consolidated under the outpatient number.
The 16 variation are the endoscopies done from the royal london. These are from this week included on the sit-rep under outpatients.",DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,"Unable to define priority of patient, as this is determined by NHS Trust. However we are aware this is a mixture of P2,3 & some 4 activity
Please note that there is no diagnostics line on the sit-rep so this is all consolidated under the outpatient number.
The 16 variation are the endoscopies done from the royal london. These are from this week included on the sit-rep under outpatients.",Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,15/06/2020, 23 ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,BHRUT was using the site for trauma /orthopeadics. All this activity has now been stopped; site cleaned/ cleared and will restart with retoration service from 8th July. BHRUT organising lists .,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,BHRUT was using the site for trauma /orthopeadics. All this activity has now been stopped; site cleaned/ cleared and will restart with retoration service from 8th July. BHRUT organising lists .,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,BHRUT was using the site for trauma /orthopeadics. All this activity has now been stopped; site cleaned/ cleared and will restart with retoration service from 8th July. BHRUT organising lists .,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,BHRUT was using the site for trauma /orthopeadics. All this activity has now been stopped; site cleaned/ cleared and will restart with retoration service from 8th July. BHRUT organising lists .,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,BHRUT was using the site for trauma /orthopeadics. All this activity has now been stopped; site cleaned/ cleared and will restart with retoration service from 8th July. BHRUT organising lists .,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,BHRUT was using the site for trauma /orthopeadics. All this activity has now been stopped; site cleaned/ cleared and will restart with retoration service from 8th July. BHRUT organising lists .,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Elective,,,Non-Cancer,15/06/2020, 26 ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,15/06/2020, 10 ,Actuals
Actuals,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Sloane (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Elective,,,Non-Cancer,15/06/2020, 7 ,Actuals
Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Elective,,,Cancer,15/06/2020, 7 ,Actuals
Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 6 ,Actuals
Actuals,Normal,The Lister (HCA UK),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 19 ,Actuals
Actuals,Normal,The Lister (HCA UK),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Lister (HCA UK),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Lister (HCA UK),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 7 ,Actuals
Actuals,Normal,The London Clinic (The London Clinic),East London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The London Clinic (The London Clinic),East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The London Clinic (The London Clinic),East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Portland (HCA UK),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 12 ,Actuals
Actuals,Normal,The Portland (HCA UK),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Portland (HCA UK),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Princess Grace (HCA UK),North London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Princess Grace (HCA UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Princess Grace (HCA UK),North London STP,,Elective,,,Cancer,15/06/2020, 53 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,Elective,,,Non-Cancer,15/06/2020, 20 ,Actuals
Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,Elective,,,Cancer,15/06/2020, 48 ,Actuals
Actuals,Normal,The Wellington Hospital (HCA UK),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 4 ,Actuals
Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 4 ,Actuals
Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020, 86 ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,ECHO,OTHER,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020, 9 ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Outpatients,,,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Elective,,,Non-Cancer,22/06/2020, 17 ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Daycase,,,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Elective,,,Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,DNA/Cancellation (Theatres Only),,,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,Actions in place by SGUH to increase bookings for Parkside & St Anthony's,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,22/06/2020, 22 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020, 17 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,22/06/2020, 10 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,22/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,22/06/2020, 20 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Outpatients,,,Non-Cancer,22/06/2020, 6 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,22/06/2020, 28 ,Actuals
